DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2009,101.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2012,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2015,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AL,2018,102.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2012,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,AT,2018,102.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2009,100.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2012,101.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BA,2018,102.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2009,100.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2012,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BE,2018,102.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2009,101.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2012,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2015,102.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,BG,2018,103.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2009,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2012,102.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2015,102.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CH,2018,102.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CY,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CY,2009,102.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CY,2012,104.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CY,2015,107.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CY,2018,111.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CZ,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CZ,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CZ,2012,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CZ,2015,102.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,CZ,2018,103.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DE,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DE,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DE,2012,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DE,2015,102.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DE,2018,102.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DK,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DK,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DK,2012,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DK,2015,101.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,DK,2018,103.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EE,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EE,2009,100.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EE,2012,101.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EE,2015,102.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EE,2018,102.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EL,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EL,2009,100.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EL,2012,101.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EL,2015,101.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EL,2018,102.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2009,101.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2012,103.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2015,104.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2018,104.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2009,101.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2012,102.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2015,102.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2018,103.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2012,101.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2015,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2018,102.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2012,102.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2015,102.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2018,103.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2009,100.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2012,101.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2018,103.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2009,101.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2012,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2015,102.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2018,103.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2012,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2015,102.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2018,104.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IS,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IS,2009,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IS,2012,104.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IS,2015,105.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IS,2018,106.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IT,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IT,2009,100.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IT,2012,101.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IT,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IT,2018,102.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LI,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LI,2009,101.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LI,2012,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LI,2015,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LI,2018,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LT,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LT,2009,100.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LT,2012,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LT,2015,101.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LT,2018,101.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LU,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LU,2009,101.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LU,2012,103.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LU,2015,103.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LU,2018,104.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LV,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LV,2009,100.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LV,2012,100.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LV,2015,101.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,LV,2018,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ME,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ME,2009,100.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ME,2012,100.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ME,2015,100.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ME,2018,101.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MK,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MK,2009,101.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MK,2012,102.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MK,2015,103.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MK,2018,103.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MT,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MT,2009,100.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MT,2012,100.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MT,2015,100.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,MT,2018,104.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NL,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NL,2009,101.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NL,2012,102.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NL,2015,102.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NL,2018,103.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NO,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NO,2009,100.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NO,2012,101.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NO,2015,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,NO,2018,103.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PL,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PL,2009,102.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PL,2012,103.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PL,2015,104.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PL,2018,105.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PT,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PT,2009,100.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PT,2012,101.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PT,2015,102.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,PT,2018,103.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RO,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RO,2009,101.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RO,2012,102.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RO,2015,103.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RO,2018,103.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RS,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RS,2009,100.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RS,2012,101.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RS,2015,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,RS,2018,102.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SE,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SE,2009,100.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SE,2012,101.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SE,2015,101.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SE,2018,102.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SI,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SI,2009,100.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SI,2012,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SI,2015,102.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SI,2018,103.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SK,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SK,2009,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SK,2012,103.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SK,2015,104.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,SK,2018,104.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,TR,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,TR,2009,102.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,TR,2012,103.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,TR,2015,107.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,TR,2018,108.7,
